,id
1136,ENSP382204
1137,ENSP311778
1138,ENSP369566
1139,ENSP354251
1140,ENSP308339
1141,ENSP327801
1142,ENSP482760
1143,ENSP265165
1144,ENSP366898
1145,ENSP457748
1146,ENSP302716
1147,ENSP473929
1148,ENSP246186
1149,ENSP294728
1150,ENSP263636
1151,ENSP354335
1152,ENSP158762
1153,ENSP422887
1154,ENSP366109
1155,ENSP282561
1156,ENSP347754
1157,ENSP470879
1158,ENSP419000
1159,ENSP371985
1160,ENSP354207
1161,ENSP480826
1162,ENSP265734
1163,ENSP350937
1164,ENSP56217
1165,ENSP368547
1166,ENSP376686
1167,ENSP317469
1168,ENSP362824
1169,ENSP351591
1170,ENSP327694
1171,ENSP421592
1172,ENSP326948
1173,ENSP284995
1174,ENSP356520
1175,ENSP473200
1176,ENSP430128
1177,ENSP353538
1178,ENSP255465
1179,ENSP370800
1180,ENSP380136
1181,ENSP357928
1182,ENSP380378
1183,ENSP400175
1184,ENSP393978
1185,ENSP256707
1186,ENSP441543
1187,ENSP403701
1188,ENSP377934
1189,ENSP251038
1190,ENSP362441
1191,ENSP311984
1192,ENSP358042
1193,ENSP406286
1194,ENSP261438
1195,ENSP421169
1196,ENSP261592
1197,ENSP349124
1198,ENSP164133
1199,ENSP388648
1200,ENSP466477
1201,ENSP336740
1202,ENSP469689
1203,ENSP232978
1204,ENSP302485
1205,ENSP306918
1206,ENSP480050
1207,ENSP355187
1208,ENSP339090
1209,ENSP301072
1210,ENSP261889
1211,ENSP376297
1212,ENSP466134
1213,ENSP379396
1214,ENSP352510
1215,ENSP355672
1216,ENSP404464
1217,ENSP345344
1218,ENSP480791
1219,ENSP271331
1220,ENSP279488
1221,ENSP350377
1222,ENSP415454
1223,ENSP35307
1224,ENSP387356
1225,ENSP336762
1226,ENSP233242
1227,ENSP422607
1228,ENSP362751
1229,ENSP313670
1230,ENSP270631
1231,ENSP330070
1232,ENSP324270
1233,ENSP263341
1234,ENSP293825
1235,ENSP263025
1236,ENSP384363
1237,ENSP364249
1238,ENSP378176
1239,ENSP261693
1240,ENSP243077
1241,ENSP304283
1242,ENSP484181
1243,ENSP216127
1244,ENSP351908
1245,ENSP239223
1246,ENSP311344
1247,ENSP342778
1248,ENSP392270
1249,ENSP464265
1250,ENSP309126
1251,ENSP360437
1252,ENSP372326
1253,ENSP296255
1254,ENSP286788
1255,ENSP313681
1256,ENSP374399
1257,ENSP281871
1258,ENSP330694
1259,ENSP426978
1260,ENSP352400
1261,ENSP331103
1262,ENSP378605
1263,ENSP467556
1264,ENSP369395
1265,ENSP350716
1266,ENSP299665
1267,ENSP356905
1268,ENSP264065
1269,ENSP286713
1270,ENSP480150
1271,ENSP359444
1272,ENSP371451
1273,ENSP357440
1274,ENSP311343
1275,ENSP327538
1276,ENSP302790
1277,ENSP479449
1278,ENSP261537
1279,ENSP413908
1280,ENSP267339
1281,ENSP384259
1282,ENSP397679
1283,ENSP266529
1284,ENSP363384
1285,ENSP354040
1286,ENSP380109
1287,ENSP248948
1288,ENSP307449
1289,ENSP296452
1290,ENSP358894
1291,ENSP405969
1292,ENSP435370
1293,ENSP311336
1294,ENSP260257
1295,ENSP170168
1296,ENSP356405
1297,ENSP261600
1298,ENSP289119
1299,ENSP370543
1300,ENSP254488
1301,ENSP356251
1302,ENSP344411
1303,ENSP263314
1304,ENSP277120
1305,ENSP397297
1306,ENSP241416
1307,ENSP354621
1308,ENSP480798
1309,ENSP345751
1310,ENSP396320
1311,ENSP357901
1312,ENSP216286
1313,ENSP446007
1314,ENSP355969
1315,ENSP383719
1316,ENSP415056
1317,ENSP244926
1318,ENSP356404
1319,ENSP345826
1320,ENSP363322
1321,ENSP364389
1322,ENSP231487
1323,ENSP376309
1324,ENSP406162
1325,ENSP241502
1326,ENSP398410
1327,ENSP367552
1328,ENSP382982
1329,ENSP323856
1330,ENSP387426
1331,ENSP363389
1332,ENSP280377
1333,ENSP375778
1334,ENSP365465
1335,ENSP362464
1336,ENSP452786
1337,ENSP225983
1338,ENSP369915
1339,ENSP433433
1340,ENSP303129
1341,ENSP370057
1342,ENSP367965
1343,ENSP393511
1344,ENSP278193
1345,ENSP361027
1346,ENSP424765
1347,ENSP427772
1348,ENSP350032
1349,ENSP423674
1350,ENSP324105
1351,ENSP286175
1352,ENSP363124
1353,ENSP311827
1354,ENSP355077
1355,ENSP402674
1356,ENSP384887
1357,ENSP6724
1358,ENSP260227
1359,ENSP364929
1360,ENSP227667
1361,ENSP229304
1362,ENSP381486
1363,ENSP426359
1364,ENSP370781
1365,ENSP310219
1366,ENSP222254
1367,ENSP370593
1368,ENSP362457
1369,ENSP439287
1370,ENSP262848
1371,ENSP335437
1372,ENSP381567
1373,ENSP385450
1374,ENSP382428
1375,ENSP416523
1376,ENSP265403
1377,ENSP370129
1378,ENSP345774
1379,ENSP389289
1380,ENSP226218
1381,ENSP482027
1382,ENSP255416
1383,ENSP404570
1384,ENSP343244
1385,ENSP264198
1386,ENSP388550
1387,ENSP294258
1388,ENSP336693
1389,ENSP395995
1390,ENSP402020
1391,ENSP373472
1392,ENSP347041
1393,ENSP440222
1394,ENSP300738
1395,ENSP54650
1396,ENSP54668
1397,ENSP333776
1398,ENSP459451
1399,ENSP420914
1400,ENSP314151
1401,ENSP347942
1402,ENSP337587
1403,ENSP379512
1404,ENSP361930
1405,ENSP242104
1406,ENSP320797
1407,ENSP470082
1408,ENSP241261
1409,ENSP267101
1410,ENSP373700
1411,ENSP295408
1412,ENSP367851
1413,ENSP360250
1414,ENSP333769
1415,ENSP346298
1416,ENSP273317
1417,ENSP274606
1418,ENSP356001
1419,ENSP271308
1420,ENSP223129
1421,ENSP459580
1422,ENSP281419
1423,ENSP353920
1424,ENSP346065
1425,ENSP399797
1426,ENSP371475
1427,ENSP355778
1428,ENSP319169
1429,ENSP238256
1430,ENSP219368
1431,ENSP370607
1432,ENSP348821
1433,ENSP369756
1434,ENSP373600
1435,ENSP354871
1436,ENSP200453
1437,ENSP427514
1438,ENSP353224
1439,ENSP484431
1440,ENSP254958
1441,ENSP380150
1442,ENSP360329
1443,ENSP404247
1444,ENSP346997
1445,ENSP405726
1446,ENSP362041
1447,ENSP482546
1448,ENSP380675
1449,ENSP361298
1450,ENSP217456
1451,ENSP378199
1452,ENSP220751
1453,ENSP308925
1454,ENSP482457
1455,ENSP289473
1456,ENSP370571
1457,ENSP358963
1458,ENSP368265
1459,ENSP255039
1460,ENSP413163
1461,ENSP303960
1462,ENSP305974
1463,ENSP387462
1464,ENSP357900
1465,ENSP414856
1466,ENSP344331
1467,ENSP445675
1468,ENSP426503
1469,ENSP252542
1470,ENSP317903
1471,ENSP268607
1472,ENSP348216
1473,ENSP343129
1474,ENSP366047
1475,ENSP274276
1476,ENSP294304
1477,ENSP325690
1478,ENSP464522
1479,ENSP44462
1480,ENSP389445
1481,ENSP286835
1482,ENSP264010
1483,ENSP359550
1484,ENSP254963
1485,ENSP361562
1486,ENSP450385
1487,ENSP339720
1488,ENSP394107
1489,ENSP362036
1490,ENSP219313
1491,ENSP168216
1492,ENSP240185
1493,ENSP310129
1494,ENSP451828
1495,ENSP358147
1496,ENSP356425
1497,ENSP301463
