,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
450,5.970546007156372,0.07386377438844878,0.008201837539672852,0.0004001856524922232,0.8,2,0.01,7,100,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.7520548279310261,0.7523809523809524,0.7678645319413056,0.8279411764705882,0.7635424309122034,0.7727567839272151,0.028276849558003463,1648
1474,146.11574535369874,6.426769951483734,0.010002231597900391,0.000632409702918353,0.9,2,0.2,20,2000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 2000}",0.727935606060606,0.7672642109978546,0.7898206729800523,0.8291090299853938,0.7495523673534144,0.7727363774754642,0.034768667373247776,1649
1475,221.33050470352174,15.054622028797452,0.012802982330322265,0.0021359620479133442,0.9,2,0.2,20,3000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.2, 'max_depth': 20, 'n_estimators': 3000}",0.727935606060606,0.7672642109978546,0.7898206729800523,0.8291090299853938,0.7495523673534144,0.7727363774754642,0.034768667373247776,1649
1644,7.860371828079224,0.24978768118395758,0.0070017814636230465,1.9073486328124998e-07,0.9,3,0.15,10,100,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 10, 'n_estimators': 100}",0.7344486551437286,0.7613217811807375,0.766428461094445,0.826747190848117,0.7745498839024019,0.772699194433886,0.03018768740011985,1651
779,166.30569777488708,2.841782071615838,0.013202953338623046,0.002400732052244041,0.8,3,0.15,7,3000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 3000}",0.7529192546583852,0.7592416445127355,0.7658898305084746,0.8101211444282155,0.7753027081985395,0.7726949164612702,0.020129081639592906,1652
1420,92.30621271133423,1.8933680078281843,0.01000227928161621,1.9073486328124998e-07,0.9,2,0.15,5,2000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 2000}",0.7537957156953241,0.7567103772057633,0.7613217811807375,0.8061403508771929,0.7854694372819657,0.7726875324481968,0.020118740933575366,1653
234,5.877725458145141,0.028096523867488028,0.008001613616943359,4.1019083342755444e-07,0.8,1,0.01,7,100,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.7448680113493167,0.7592416445127355,0.760830123818315,0.8253529221595604,0.7727924872831615,0.7726170378246179,0.027817063962494056,1654
650,9.82281427383423,0.9774857755498154,0.00940241813659668,0.002332661540659549,0.8,3,0.01,2,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.7690096681473739,0.766428461094445,0.8295562411010916,0.7533695370275773,0.7725941990395829,0.029827522342359764,1655
666,6.632495641708374,0.5827859530269077,0.008001375198364257,2.78041453115716e-07,0.8,3,0.01,7,100,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.7426080395003404,0.757108995021448,0.7723364634098022,0.8255263157894737,0.76535719702715,0.7725874021496428,0.028260257202702473,1656
1235,91.68467249870301,3.411384434950485,0.013402795791625977,0.0030071455134506875,0.9,1,0.2,3,3000,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 3000}",0.7533695370275771,0.7583263996196363,0.7710215314877773,0.8113905325443787,0.7678200296905333,0.7723856060739805,0.02051029811706517,1657
774,5.918734407424926,0.17423531174515233,0.007601737976074219,0.0004898819214545809,0.8,3,0.15,7,100,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 100}",0.7484779744783019,0.7567103772057633,0.7729840780688239,0.8113611539101437,0.770993310907474,0.7721053789141014,0.02162537859075928,1658
1726,154.75149326324464,4.025276091288059,0.009002208709716797,5.840038639982171e-07,0.9,3,0.3,20,2000,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 2000}",0.720959595959596,0.7704152981884145,0.788795518207283,0.7949892606626278,0.7845729325225137,0.7719465211080869,0.026744322740952068,1659
18,5.75989875793457,0.107083857118395,0.008201932907104493,0.0004001380256082582,0.8,0,0.01,7,100,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.7446070878274267,0.757108995021448,0.7633511535172888,0.8241502282213204,0.770298361457569,0.7719031652090106,0.02745691608476176,1660
12,4.281165218353271,0.056536494624888994,0.010202264785766602,0.005913869675995561,0.8,0,0.01,5,100,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.7446070878274267,0.7476062399139322,0.7704152981884145,0.834313725490196,0.7622600032740113,0.771840470938796,0.03263641868019689,1661
1234,61.50506768226624,1.8247248413466899,0.01400308609008789,0.008001780513323058,0.9,1,0.2,3,2000,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 2000}",0.7509157509157509,0.7583263996196363,0.7710215314877773,0.8101211444282155,0.7678200296905333,0.7716409712283827,0.020506192252334868,1662
1233,30.360245323181154,0.6859621400033181,0.009602212905883789,0.0017439090720703643,0.9,1,0.2,3,1000,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 1000}",0.7509157509157509,0.7583263996196363,0.7710215314877773,0.8101211444282155,0.7678200296905333,0.7716409712283827,0.020506192252334868,1662
1111,27.28755235671997,0.6116806292287545,0.015403413772583007,0.0004900571168092678,0.9,1,0.01,20,300,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 300}",0.7186236750803705,0.7613217811807375,0.7729840780688239,0.834313725490196,0.770298361457569,0.7715083242555394,0.037010031239466924,1664
