,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
638,0.5000753402709961,0.006033434155960707,0.00122833251953125,5.182344683859637e-05,0.8,2,0.3,10,500,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 500}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
640,1.4039893627166748,0.019361651374357455,0.0020569801330566407,0.0009436031066622532,0.8,2,0.3,10,2000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 2000}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
641,2.057945203781128,0.0456701628102542,0.0015475749969482422,0.00013021697300383565,0.8,2,0.3,10,3000,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 3000}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
636,0.2527270793914795,0.010035857595614895,0.0015464305877685546,0.0005787121632253237,0.8,2,0.3,10,100,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 100}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
637,0.3946176528930664,0.010466978534164418,0.001241922378540039,0.00015061692512536402,0.8,2,0.3,10,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 300}",0.7915056352562676,0.8032415278250029,0.7857142857142858,0.7845632661614221,0.798894113549286,0.792783765701253,0.007292309879123171,1384
1093,2.329215478897095,0.038658404553012525,0.0039447307586669925,0.0013077579249215258,0.9,1,0.01,5,300,"{'colsample_bytree': 0.9, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7902038101572522,0.7828883602079477,0.7789897771809138,0.790807809171236,0.8209237108681966,0.7927626935171093,0.01476894063775458,1390
743,2.222941827774048,0.025853316724838444,0.0017588138580322266,0.00014536597990277798,0.8,3,0.1,7,3000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 3000}",0.7864923747276689,0.7910204081632652,0.8022729780425907,0.7744449428122898,0.809462915601023,0.7927387238693675,0.012224831316193525,1391
742,1.6115696430206299,0.033179364866362915,0.0017574310302734375,0.0002707382706244367,0.8,3,0.1,7,2000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 2000}",0.7864923747276689,0.7910204081632652,0.8022729780425907,0.7744449428122898,0.809462915601023,0.7927387238693675,0.012224831316193525,1391
741,0.9634445667266845,0.010923260555388992,0.0015023708343505859,4.29541624196326e-05,0.8,3,0.1,7,1000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 1000}",0.7864923747276689,0.7910204081632652,0.8022729780425907,0.7744449428122898,0.809462915601023,0.7927387238693675,0.012224831316193525,1391
740,0.6751168251037598,0.01567624734737715,0.0017342090606689454,0.0005147559357971137,0.8,3,0.1,7,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",0.7864923747276689,0.7910204081632652,0.8022729780425907,0.7744449428122898,0.809462915601023,0.7927387238693675,0.012224831316193525,1391
